gi,x,y,z,stage1_reachable,glns_reachable,visited,uncovered,gap_to_best,base,reconfigs,wrist,flips,solved_components,num_components,rc,seconds,glns_h5
57,-0.175,0.8,0.09000000000000001,70,73,73,1,0,0,1,1,1,3,3,0,16.6,data/sample/placement_sweep/glns_result_057.h5
32,-0.175,0.8,0.04,70,73,73,1,0,0,4,4,4,3,3,0,16.1,data/sample/placement_sweep/glns_result_032.h5
7,-0.175,0.8,-0.01,70,73,73,1,0,1,1,1,1,3,3,0,15.8,data/sample/placement_sweep/glns_result_007.h5
12,-0.1,0.8,-0.01,70,72,72,2,1,0,0,0,0,3,3,0,16.0,data/sample/placement_sweep/glns_result_012.h5
33,-0.175,0.875,0.04,70,72,72,2,1,0,0,0,0,3,3,0,15.9,data/sample/placement_sweep/glns_result_033.h5
37,-0.1,0.8,0.04,70,72,72,2,1,0,0,0,0,3,3,0,16.3,data/sample/placement_sweep/glns_result_037.h5
42,-0.02500000000000001,0.8,0.04,70,72,72,2,1,0,0,0,0,3,3,0,16.6,data/sample/placement_sweep/glns_result_042.h5
8,-0.175,0.875,-0.01,70,72,72,2,1,0,1,1,0,3,3,0,15.8,data/sample/placement_sweep/glns_result_008.h5
39,-0.1,0.9500000000000001,0.04,70,72,72,2,1,0,1,1,0,3,3,0,16.3,data/sample/placement_sweep/glns_result_039.h5
9,-0.175,0.9500000000000001,-0.01,70,72,72,2,1,0,1,1,1,3,3,0,16.0,data/sample/placement_sweep/glns_result_009.h5
14,-0.1,0.9500000000000001,-0.01,70,72,72,2,1,0,1,1,1,3,3,0,16.0,data/sample/placement_sweep/glns_result_014.h5
31,-0.175,0.7250000000000001,0.04,70,72,72,2,1,0,1,1,1,3,3,0,16.0,data/sample/placement_sweep/glns_result_031.h5
55,-0.175,0.65,0.09000000000000001,70,72,72,2,1,0,1,1,1,3,3,0,16.3,data/sample/placement_sweep/glns_result_055.h5
56,-0.175,0.7250000000000001,0.09000000000000001,70,72,72,2,1,0,1,1,1,3,3,0,16.8,data/sample/placement_sweep/glns_result_056.h5
19,-0.02500000000000001,0.9500000000000001,-0.01,70,72,72,2,1,0,2,2,0,3,3,0,16.3,data/sample/placement_sweep/glns_result_019.h5
44,-0.02500000000000001,0.9500000000000001,0.04,70,72,72,2,1,0,2,2,0,3,3,0,16.8,data/sample/placement_sweep/glns_result_044.h5
34,-0.175,0.9500000000000001,0.04,70,72,72,2,1,0,2,2,1,3,3,0,16.1,data/sample/placement_sweep/glns_result_034.h5
47,0.04999999999999999,0.8,0.04,70,72,72,2,1,0,2,2,1,3,3,0,16.6,data/sample/placement_sweep/glns_result_047.h5
24,0.04999999999999999,0.9500000000000001,-0.01,70,72,72,2,1,0,2,2,2,3,3,0,16.0,data/sample/placement_sweep/glns_result_024.h5
49,0.04999999999999999,0.9500000000000001,0.04,70,72,72,2,1,0,3,3,3,3,3,0,17.2,data/sample/placement_sweep/glns_result_049.h5
