gi,x,y,z,stage1_reachable,glns_reachable,visited,uncovered,gap_to_best,base,reconfigs,wrist,flips,solved_components,num_components,rc,seconds,glns_h5
7,-0.175,1.1,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,15.7,data/square_structure/placement_sweep/glns_result_007.h5
11,-0.1,1.0250000000000001,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,14.3,data/square_structure/placement_sweep/glns_result_011.h5
12,-0.1,1.1,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,15.6,data/square_structure/placement_sweep/glns_result_012.h5
15,-0.02500000000000001,0.9500000000000001,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,12.4,data/square_structure/placement_sweep/glns_result_015.h5
16,-0.02500000000000001,1.0250000000000001,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,14.1,data/square_structure/placement_sweep/glns_result_016.h5
18,-0.02500000000000001,1.175,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,15.9,data/square_structure/placement_sweep/glns_result_018.h5
20,0.04999999999999999,0.9500000000000001,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,12.6,data/square_structure/placement_sweep/glns_result_020.h5
22,0.04999999999999999,1.1,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,15.6,data/square_structure/placement_sweep/glns_result_022.h5
23,0.04999999999999999,1.175,-0.01,70,70,70,1,0,0,3,3,3,1,1,0,16.1,data/square_structure/placement_sweep/glns_result_023.h5
13,-0.1,1.175,-0.01,70,70,70,1,0,0,4,4,4,1,1,0,16.3,data/square_structure/placement_sweep/glns_result_013.h5
14,-0.1,1.25,-0.01,70,70,70,1,0,0,4,4,4,1,1,0,16.3,data/square_structure/placement_sweep/glns_result_014.h5
17,-0.02500000000000001,1.1,-0.01,70,70,70,1,0,0,4,4,4,1,1,0,15.4,data/square_structure/placement_sweep/glns_result_017.h5
8,-0.175,1.175,-0.01,70,70,70,1,0,0,5,5,4,1,1,0,16.2,data/square_structure/placement_sweep/glns_result_008.h5
9,-0.175,1.25,-0.01,70,70,70,1,0,0,5,5,4,1,1,0,17.0,data/square_structure/placement_sweep/glns_result_009.h5
19,-0.02500000000000001,1.25,-0.01,70,70,70,1,0,0,5,5,4,1,1,0,16.6,data/square_structure/placement_sweep/glns_result_019.h5
5,-0.175,0.9500000000000001,-0.01,70,70,70,1,0,0,6,6,3,1,1,0,12.0,data/square_structure/placement_sweep/glns_result_005.h5
6,-0.175,1.0250000000000001,-0.01,70,70,70,1,0,0,6,6,4,1,1,0,14.2,data/square_structure/placement_sweep/glns_result_006.h5
24,0.04999999999999999,1.25,-0.01,70,70,70,1,0,0,6,6,6,1,1,0,16.4,data/square_structure/placement_sweep/glns_result_024.h5
21,0.04999999999999999,1.0250000000000001,-0.01,70,70,70,1,0,1,2,2,2,1,1,0,14.3,data/square_structure/placement_sweep/glns_result_021.h5
10,-0.1,0.9500000000000001,-0.01,70,70,70,1,0,1,3,3,2,1,1,0,12.7,data/square_structure/placement_sweep/glns_result_010.h5
