gi,x,y,z,stage1_reachable,glns_reachable,visited,uncovered,gap_to_best,base,reconfigs,wrist,flips,solved_components,num_components,rc,seconds,glns_h5
15,-0.02500000000000001,0.9500000000000001,-0.01,19,22,22,0,0,0,2,2,2,1,1,0,7.3,data/cylinder_sample/placement_sweep/glns_result_015.h5
20,0.04999999999999999,0.9500000000000001,-0.01,19,22,22,0,0,0,2,2,2,1,1,0,7.3,data/cylinder_sample/placement_sweep/glns_result_020.h5
40,-0.02500000000000001,0.9500000000000001,0.04,19,22,22,0,0,0,2,2,2,1,1,0,7.4,data/cylinder_sample/placement_sweep/glns_result_040.h5
45,0.04999999999999999,0.9500000000000001,0.04,19,22,22,0,0,0,2,2,2,1,1,0,7.3,data/cylinder_sample/placement_sweep/glns_result_045.h5
70,0.04999999999999999,0.9500000000000001,0.09000000000000001,19,22,22,0,0,0,2,2,2,1,1,0,7.2,data/cylinder_sample/placement_sweep/glns_result_070.h5
25,-0.25,0.9500000000000001,0.04,19,22,22,0,0,0,3,3,2,1,1,0,7.7,data/cylinder_sample/placement_sweep/glns_result_025.h5
50,-0.25,0.9500000000000001,0.09000000000000001,19,22,22,0,0,0,3,3,2,1,1,0,7.8,data/cylinder_sample/placement_sweep/glns_result_050.h5
65,-0.02500000000000001,0.9500000000000001,0.09000000000000001,19,22,22,0,0,0,3,3,2,1,1,0,7.4,data/cylinder_sample/placement_sweep/glns_result_065.h5
0,-0.25,0.9500000000000001,-0.01,19,22,22,0,0,0,4,4,2,1,1,0,7.4,data/cylinder_sample/placement_sweep/glns_result_000.h5
55,-0.175,0.9500000000000001,0.09000000000000001,19,22,22,0,0,0,4,4,2,1,1,0,7.6,data/cylinder_sample/placement_sweep/glns_result_055.h5
35,-0.1,0.9500000000000001,0.04,19,22,22,0,0,1,1,1,1,1,1,0,7.3,data/cylinder_sample/placement_sweep/glns_result_035.h5
60,-0.1,0.9500000000000001,0.09000000000000001,19,22,22,0,0,1,1,1,1,1,1,0,7.5,data/cylinder_sample/placement_sweep/glns_result_060.h5
5,-0.175,0.9500000000000001,-0.01,19,22,22,0,0,1,2,2,2,1,1,0,7.4,data/cylinder_sample/placement_sweep/glns_result_005.h5
10,-0.1,0.9500000000000001,-0.01,19,22,22,0,0,1,2,2,2,1,1,0,7.3,data/cylinder_sample/placement_sweep/glns_result_010.h5
30,-0.175,0.9500000000000001,0.04,19,22,22,0,0,1,2,2,2,1,1,0,7.7,data/cylinder_sample/placement_sweep/glns_result_030.h5
1,-0.25,1.0250000000000001,-0.01,18,19,19,3,3,0,3,3,1,1,1,0,7.4,data/cylinder_sample/placement_sweep/glns_result_001.h5
11,-0.1,1.0250000000000001,-0.01,18,19,19,3,3,0,3,3,1,1,1,0,7.3,data/cylinder_sample/placement_sweep/glns_result_011.h5
16,-0.02500000000000001,1.0250000000000001,-0.01,18,19,19,3,3,0,3,3,1,1,1,0,7.4,data/cylinder_sample/placement_sweep/glns_result_016.h5
21,0.04999999999999999,1.0250000000000001,-0.01,18,19,19,3,3,0,3,3,1,1,1,0,7.3,data/cylinder_sample/placement_sweep/glns_result_021.h5
6,-0.175,1.0250000000000001,-0.01,18,19,19,3,3,0,3,3,2,1,1,0,7.4,data/cylinder_sample/placement_sweep/glns_result_006.h5
